id,product_name,category,brand,price,stock,description,features,rating,reviews,image_url,created_at
11,Nike Air Max 270,Shoes,Nike,150.00,120,"Günlük kullanım için rahat spor ayakkabı","Air Max teknolojisi, Hafif üst kısım, Esnek taban",4.5,2340,"https://example.com/nikeairmax270.jpg","2024-01-03"
12,Adidas Ultraboost 22,Shoes,Adidas,180.00,85,"Koşu için tasarlanmış premium ayakkabı","Boost midsole, Primeknit üst, Continental taban",4.6,1567,"https://example.com/adidasultraboost22.jpg","2024-01-07"
13,Canon EOS R5,Camera,Canon,3899.99,15,"Profesyonel fotoğrafçılık için mirrorless kamera","45MP, 8K video, IBIS, RF mount",4.9,234,"https://example.com/canoneosr5.jpg","2024-01-11"
14,Sony A7 IV,Camera,Sony,2499.99,25,"Hibrit fotoğraf ve video kamerası","33MP, 4K 60p, Real-time Eye AF",4.8,445,"https://example.com/sonya7iv.jpg","2024-01-16"
15,PlayStation 5,Gaming Console,Sony,499.99,30,"Sony'nin yeni nesil oyun konsolu","4K gaming, Ray tracing, SSD, DualSense controller",4.8,2100,"https://example.com/playstation5.jpg","2024-01-02"
16,Xbox Series X,Gaming Console,Microsoft,499.99,35,"Microsoft'un güçlü oyun konsolu","4K 120fps, Quick Resume, Game Pass uyumlu",4.7,1890,"https://example.com/xboxseriesx.jpg","2024-01-04"
17,Nintendo Switch OLED,Gaming Console,Nintendo,349.99,50,"Hibrit oyun konsolu","7 inç OLED ekran, 64GB depolama, Joy-Con",4.6,3450,"https://example.com/nintendoswitcholed.jpg","2024-01-06"
18,GoPro Hero 11 Black,Action Camera,GoPro,399.99,40,"Aksiyon videoları için profesyonel kamera","5.3K 60fps, HyperSmooth 5.0, 10-bit color",4.7,890,"https://example.com/goprohero11black.jpg","2024-01-09"
19,DJI Mini 3 Pro,Drone,DJI,759.99,20,"Hafif ve güçlü drone","4K video, 34 dk uçuş süresi, Obstacle avoidance",4.8,567,"https://example.com/djimini3pro.jpg","2024-01-13"
20,Instant Pot Duo 7-in-1,Kitchen Appliance,Instant Pot,89.99,100,"Çok fonksiyonlu mutfak aleti","7 farklı pişirme modu, 6L kapasite, Programlanabilir",4.6,4560,"https://example.com/instantpotduo.jpg","2024-01-01"
21,Dyson V15 Detect,Home Appliance,Dyson,699.99,45,"Kablosuz süpürge","Laser dust detection, 60 dk çalışma, LCD ekran",4.8,1234,"https://example.com/dysonv15detect.jpg","2024-01-17"
22,iRobot Roomba j7+,Home Appliance,iRobot,799.99,30,"Akıllı robot süpürge","AI obstacle avoidance, Self-emptying base, Mapping",4.7,789,"https://example.com/irobotroombaj7.jpg","2024-01-19"
23,Philips Hue Starter Kit,Smart Home,Philips,199.99,60,"Akıllı ev aydınlatma sistemi","3 LED ampul, Bridge, App kontrolü, 16 milyon renk",4.6,2340,"https://example.com/philipshuestarter.jpg","2024-01-21"
24,Amazon Echo Dot 5th Gen,Smart Home,Amazon,49.99,200,"Kompakt akıllı hoparlör","Alexa, Bluetooth, 3.5mm jack, LED display",4.5,5670,"https://example.com/amazonechodot5.jpg","2024-01-23"
25,Google Nest Hub 2nd Gen,Smart Home,Google,99.99,80,"Akıllı ekran ve hoparlör","7 inç ekran, Google Assistant, Sleep Sensing",4.6,1230,"https://example.com/googlenesthub2.jpg","2024-01-24"
